Country,Indicator,Percentile,Year,Value
Brazil,gptinc_pall_992_j_BR,pall,1913,Unnamed: 4
Brazil,gptinc_pall_992_j_BR,pall,1914,
Brazil,gptinc_pall_992_j_BR,pall,1915,
Brazil,gptinc_pall_992_j_BR,pall,1916,
Brazil,gptinc_pall_992_j_BR,pall,1917,
Brazil,gptinc_pall_992_j_BR,pall,1918,
Brazil,gptinc_pall_992_j_BR,pall,1919,
Brazil,gptinc_pall_992_j_BR,pall,1920,
Brazil,gptinc_pall_992_j_BR,pall,1921,
Brazil,gptinc_pall_992_j_BR,pall,1922,
Brazil,gptinc_pall_992_j_BR,pall,1923,
Brazil,gptinc_pall_992_j_BR,pall,1924,
Brazil,gptinc_pall_992_j_BR,pall,1925,
Brazil,gptinc_pall_992_j_BR,pall,1926,
Brazil,gptinc_pall_992_j_BR,pall,1927,
Brazil,gptinc_pall_992_j_BR,pall,1928,
Brazil,gptinc_pall_992_j_BR,pall,1929,
Brazil,gptinc_pall_992_j_BR,pall,1930,
Brazil,gptinc_pall_992_j_BR,pall,1931,
Brazil,gptinc_pall_992_j_BR,pall,1932,
Brazil,gptinc_pall_992_j_BR,pall,1933,
Brazil,gptinc_pall_992_j_BR,pall,1934,
Brazil,gptinc_pall_992_j_BR,pall,1935,
Brazil,gptinc_pall_992_j_BR,pall,1936,
Brazil,gptinc_pall_992_j_BR,pall,1937,
Brazil,gptinc_pall_992_j_BR,pall,1938,
Brazil,gptinc_pall_992_j_BR,pall,1939,
Brazil,gptinc_pall_992_j_BR,pall,1940,
Brazil,gptinc_pall_992_j_BR,pall,1941,
Brazil,gptinc_pall_992_j_BR,pall,1942,
Brazil,gptinc_pall_992_j_BR,pall,1943,
Brazil,gptinc_pall_992_j_BR,pall,1944,
Brazil,gptinc_pall_992_j_BR,pall,1945,
Brazil,gptinc_pall_992_j_BR,pall,1946,
Brazil,gptinc_pall_992_j_BR,pall,1947,
Brazil,gptinc_pall_992_j_BR,pall,1948,
Brazil,gptinc_pall_992_j_BR,pall,1949,
Brazil,gptinc_pall_992_j_BR,pall,1950,
Brazil,gptinc_pall_992_j_BR,pall,1951,
Brazil,gptinc_pall_992_j_BR,pall,1952,
Brazil,gptinc_pall_992_j_BR,pall,1953,
Brazil,gptinc_pall_992_j_BR,pall,1954,
Brazil,gptinc_pall_992_j_BR,pall,1955,
Brazil,gptinc_pall_992_j_BR,pall,1956,
Brazil,gptinc_pall_992_j_BR,pall,1957,
Brazil,gptinc_pall_992_j_BR,pall,1958,
Brazil,gptinc_pall_992_j_BR,pall,1959,
Brazil,gptinc_pall_992_j_BR,pall,1960,
Brazil,gptinc_pall_992_j_BR,pall,1961,
Brazil,gptinc_pall_992_j_BR,pall,1962,
Brazil,gptinc_pall_992_j_BR,pall,1963,
Brazil,gptinc_pall_992_j_BR,pall,1964,
Brazil,gptinc_pall_992_j_BR,pall,1965,
Brazil,gptinc_pall_992_j_BR,pall,1966,
Brazil,gptinc_pall_992_j_BR,pall,1967,
Brazil,gptinc_pall_992_j_BR,pall,1968,
Brazil,gptinc_pall_992_j_BR,pall,1969,
Brazil,gptinc_pall_992_j_BR,pall,1970,
Brazil,gptinc_pall_992_j_BR,pall,1971,
Brazil,gptinc_pall_992_j_BR,pall,1972,
Brazil,gptinc_pall_992_j_BR,pall,1973,
Brazil,gptinc_pall_992_j_BR,pall,1974,
Brazil,gptinc_pall_992_j_BR,pall,1975,
Brazil,gptinc_pall_992_j_BR,pall,1976,
Brazil,gptinc_pall_992_j_BR,pall,1977,
Brazil,gptinc_pall_992_j_BR,pall,1978,
Brazil,gptinc_pall_992_j_BR,pall,1979,
Brazil,gptinc_pall_992_j_BR,pall,1980,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1981,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1982,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1983,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1984,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1985,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1986,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1987,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1988,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1989,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1990,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1991,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1992,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1993,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1994,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1995,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1996,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1997,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1998,703.332.456.574
Brazil,gptinc_pall_992_j_BR,pall,1999,703.332.456.574
